State,Year,Quarter,District,Count,Amount
Madhya Pradesh,2022,4,jabalpur,17383664,26637455898.079086
Madhya Pradesh,2022,4,ujjain,16707523,27113247453.133526
Madhya Pradesh,2022,4,dhar,13287245,20206456864.59485
Madhya Pradesh,2022,4,dewas,11710945,18499556126.900196
Madhya Pradesh,2022,4,shahdol,10700938,14780956554.066238
Madhya Pradesh,2022,4,rewa,9898698,16813110581.034153
Madhya Pradesh,2022,1,bhopal,159892411,221096758835.2795
Madhya Pradesh,2022,1,indore,82698834,117708333766.98831
Madhya Pradesh,2022,1,gwalior,15549106,27692015434.858017
Madhya Pradesh,2022,1,jabalpur,14198131,23727705882.80347
Madhya Pradesh,2022,1,ujjain,11174270,19317822240.980057
Madhya Pradesh,2022,1,dhar,10117283,16593117838.03894
Madhya Pradesh,2022,1,dewas,8873232,14573666819.387135
Madhya Pradesh,2022,1,sehore,7782311,12240349684.93433
Madhya Pradesh,2022,1,chhindwara,7709009,12667985167.90129
Madhya Pradesh,2022,1,sagar,7000254,11999611899.066284
Madhya Pradesh,2021,2,bhopal,74643630,127038866031.39793
Madhya Pradesh,2021,2,indore,34159162,59026805792.65047
Madhya Pradesh,2021,2,gwalior,7475892,15466583871.368423
Madhya Pradesh,2021,2,jabalpur,6808088,12879587251.083908
Madhya Pradesh,2021,2,dhar,5029916,9012726646.390884
Madhya Pradesh,2021,2,ujjain,4879699,9676724764.226078
Madhya Pradesh,2021,2,dewas,4430778,8482648817.275978
Madhya Pradesh,2021,2,sehore,4199604,7779826903.455323
Madhya Pradesh,2021,2,chhindwara,3787673,7484666557.941613
Madhya Pradesh,2021,2,rewa,3692722,8211449728.951238
Madhya Pradesh,2021,3,bhopal,103403998,146735124186.2163
Madhya Pradesh,2021,3,indore,55970712,81712956761.21715
Madhya Pradesh,2021,3,gwalior,10677148,19237891487.133667
Madhya Pradesh,2021,3,jabalpur,9691966,16293034528.474735
Madhya Pradesh,2021,3,ujjain,7652620,13233697399.244934
Madhya Pradesh,2021,3,dhar,7010257,11371461567.624537
Madhya Pradesh,2021,3,dewas,6092595,9986506658.490002
Madhya Pradesh,2021,3,sehore,5466240,8629273157.345976
Madhya Pradesh,2021,3,chhindwara,5106996,8670292561.634789
Madhya Pradesh,2021,3,sagar,4691027,8366148265.503399
Madhya Pradesh,2021,4,bhopal,134176541,190196223229.17584
Madhya Pradesh,2021,4,indore,73486993,107685836352.74806
Madhya Pradesh,2021,4,gwalior,13721879,25012279408.26774
Madhya Pradesh,2021,4,jabalpur,12476449,20920967750.048428
Madhya Pradesh,2021,4,ujjain,9436286,16998154949.070953
Madhya Pradesh,2021,4,dhar,8770665,14454487270.115353
Madhya Pradesh,2021,4,dewas,7659615,13007477185.675833
Madhya Pradesh,2021,4,sehore,6733399,10809509304.10481
Madhya Pradesh,2021,4,chhindwara,6522234,11185696130.666462
Madhya Pradesh,2021,4,rewa,6195961,12315058116.409243
Madhya Pradesh,2021,1,bhopal,67309234,101725720745.41441
Madhya Pradesh,2021,1,indore,37457244,53867415617.00962
Madhya Pradesh,2021,1,gwalior,7162483,13365571399.680473
Madhya Pradesh,2021,1,jabalpur,6508756,11341470367.935308
Madhya Pradesh,2021,1,ujjain,4926814,8661804508.825624
Madhya Pradesh,2021,1,dhar,4368739,7366487165.421755
Madhya Pradesh,2021,1,dewas,3992803,6833124438.36656
Madhya Pradesh,2021,1,sehore,3804912,6207673600.695252
Madhya Pradesh,2021,1,chhindwara,3281453,6171721022.75809
Madhya Pradesh,2021,1,sagar,3149917,5653447301.758538
Madhya Pradesh,2023,2,indore,142167846,167783471243.0
Madhya Pradesh,2023,2,bhopal,101329806,112080830923.0
Madhya Pradesh,2023,2,gwalior,37274900,57528982641.0
Madhya Pradesh,2023,2,ujjain,30837675,46609017169.0
Madhya Pradesh,2023,2,jabalpur,28848316,41668633973.0
Madhya Pradesh,2023,2,dhar,26679875,36996250233.0
Madhya Pradesh,2023,2,dewas,22398163,33309353948.0
Madhya Pradesh,2023,2,rewa,20065798,32186209412.0
Madhya Pradesh,2023,2,chhindwara,20020454,28324665903.0
Madhya Pradesh,2023,2,sehore,18815311,28128404111.0
Madhya Pradesh,2023,1,indore,125871728,151714773334.0
Madhya Pradesh,2023,1,bhopal,90233129,100743031945.0
Madhya Pradesh,2023,1,gwalior,32530192,52982719835.0
Madhya Pradesh,2023,1,ujjain,26942883,40817423529.0
Madhya Pradesh,2023,1,jabalpur,25123516,37663871660.0
Madhya Pradesh,2023,1,dhar,23103625,33382954474.0
Madhya Pradesh,2023,1,dewas,19792878,29287649682.0
Madhya Pradesh,2023,1,chhindwara,17392755,24958783288.0
Madhya Pradesh,2023,1,rewa,16354341,27952686901.0
Madhya Pradesh,2023,1,sehore,16316080,23436920406.0
Madhya Pradesh,2019,2,bhopal,12031142,17309015090.75333
Madhya Pradesh,2019,2,indore,8459734,14340814113.22087
Madhya Pradesh,2019,2,jabalpur,2003659,3365108021.1103716
